id;bookmark_name;bookmark_url;visibility
1;Multi-channelled Licensed;grey Cambridgeshire;PRIVATE
2;Table Small Frozen Sausages Planner;envisioneer Music Public-key;PUBLIC
3;Investment Account;Games Regional Digitized;PRIVATE
4;Mayotte;Industrial;PRIVATE
5;capacitor archive;sky blue Tasty Plastic Pizza;PUBLIC
6;compelling mission-critical;bifurcated scalable;PUBLIC
7;deliverables reinvent 24 hour;overriding;PRIVATE
8;world-class Frozen IB;Highway Ergonomic;PRIVATE
9;New York tangible Mississippi;Frozen bus;PRIVATE
10;Poland;Small partnerships;PRIVATE
